Date,Open,High,Low,Close,Adj Close,Volume
2021-01-13,2.100000,2.250000,2.100000,2.220000,2.220000,308500
2021-01-14,2.200000,2.290000,2.170000,2.240000,2.240000,320000
2021-01-15,2.180000,2.190000,2.100000,2.140000,2.140000,246000
2021-01-19,2.110000,2.130000,2.050000,2.090000,2.090000,218800
2021-01-20,2.100000,2.130000,2.030000,2.040000,2.040000,210200
2021-01-21,2.030000,2.050000,1.930000,1.950000,1.950000,294100
2021-01-22,1.860000,1.920000,1.850000,1.880000,1.880000,293800
2021-01-25,1.860000,1.910000,1.840000,1.890000,1.890000,316500
2021-01-26,1.900000,1.950000,1.870000,1.890000,1.890000,208100
2021-01-27,1.850000,1.870000,1.800000,1.820000,1.820000,156900
2021-01-28,1.850000,1.870000,1.740000,1.770000,1.770000,247700
2021-01-29,1.820000,1.830000,1.720000,1.720000,1.720000,269200
2021-02-01,1.840000,1.840000,1.780000,1.810000,1.810000,189100
2021-02-02,1.900000,1.910000,1.820000,1.850000,1.850000,194600
2021-02-03,1.860000,1.900000,1.850000,1.880000,1.880000,125900
2021-02-04,1.900000,1.900000,1.850000,1.880000,1.880000,72100
2021-02-05,1.900000,1.920000,1.870000,1.910000,1.910000,104000
2021-02-08,1.920000,1.970000,1.870000,1.920000,1.920000,610100
2021-02-09,1.930000,1.950000,1.900000,1.930000,1.930000,97100
2021-02-10,1.910000,1.940000,1.870000,1.910000,1.910000,158300
2021-02-11,1.960000,1.960000,1.900000,1.900000,1.900000,170300
2021-02-12,1.860000,1.910000,1.850000,1.890000,1.890000,108100
2021-02-16,1.930000,1.950000,1.900000,1.940000,1.940000,180300
2021-02-17,1.890000,1.940000,1.880000,1.930000,1.930000,159300
2021-02-18,1.850000,1.880000,1.810000,1.820000,1.820000,242000
2021-02-19,1.850000,1.930000,1.840000,1.920000,1.920000,239700
2021-02-22,1.890000,1.980000,1.860000,1.940000,1.940000,323900
2021-02-23,1.870000,1.890000,1.710000,1.860000,1.860000,319900
2021-02-24,1.880000,1.930000,1.860000,1.900000,1.900000,131400
2021-02-25,1.900000,1.950000,1.820000,1.850000,1.850000,195400
2021-02-26,1.860000,1.860000,1.800000,1.830000,1.830000,230400
2021-03-01,1.880000,1.890000,1.840000,1.860000,1.860000,122700
2021-03-02,1.890000,1.890000,1.850000,1.870000,1.870000,35700
2021-03-03,1.880000,1.880000,1.770000,1.780000,1.780000,177500
2021-03-04,1.830000,1.880000,1.810000,1.850000,1.850000,340000
2021-03-05,1.860000,1.860000,1.800000,1.820000,1.820000,263300
2021-03-08,1.820000,1.850000,1.770000,1.800000,1.800000,92700
2021-03-09,1.850000,1.890000,1.780000,1.830000,1.830000,233300
2021-03-10,1.840000,1.870000,1.830000,1.860000,1.860000,92300
2021-03-11,1.860000,1.900000,1.860000,1.880000,1.880000,76400
2021-03-12,1.850000,1.890000,1.840000,1.850000,1.850000,90700
2021-03-15,1.860000,1.940000,1.860000,1.930000,1.930000,160700
2021-03-16,1.910000,1.920000,1.860000,1.890000,1.890000,111300
2021-03-17,1.830000,1.870000,1.820000,1.860000,1.860000,75500
2021-03-18,1.860000,1.860000,1.800000,1.800000,1.800000,86900
2021-03-19,1.810000,1.820000,1.760000,1.760000,1.760000,88100
2021-03-22,1.760000,1.760000,1.710000,1.710000,1.710000,129400
2021-03-23,1.700000,1.700000,1.620000,1.630000,1.630000,237300
2021-03-24,1.620000,1.640000,1.580000,1.580000,1.580000,89800
2021-03-25,1.610000,1.630000,1.590000,1.620000,1.620000,113600
2021-03-26,1.630000,1.700000,1.630000,1.650000,1.650000,87300
2021-03-29,1.690000,1.730000,1.680000,1.680000,1.680000,58200
2021-03-30,1.700000,1.700000,1.660000,1.680000,1.680000,51600
2021-03-31,1.740000,1.770000,1.700000,1.730000,1.730000,162200
2021-04-01,1.750000,1.750000,1.700000,1.740000,1.740000,48300
2021-04-05,1.710000,1.760000,1.700000,1.720000,1.720000,57400
2021-04-06,1.690000,1.720000,1.690000,1.720000,1.720000,28600
2021-04-07,1.720000,1.740000,1.710000,1.720000,1.720000,34400
2021-04-08,1.720000,1.720000,1.650000,1.690000,1.690000,69700
2021-04-09,1.680000,1.700000,1.680000,1.700000,1.700000,92500
2021-04-12,1.700000,1.710000,1.690000,1.690000,1.690000,42500
2021-04-13,1.710000,1.750000,1.700000,1.740000,1.740000,104200
2021-04-14,1.820000,1.990000,1.820000,1.970000,1.970000,420800
2021-04-15,1.840000,1.870000,1.810000,1.840000,1.840000,288400
